start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2021-09-22,2021-09-26,XCAFRR21,1,5,zango,CarpeGuitarrem,[Peace/Truth]/Finesse,MonoWhite,,zango,normal,forum,,charnel_mouse,
2021-09-24,2021-09-27,XCAFRR21,1,1,OffKilter,Dreamfire,Black Bash,MonoRed,,Dreamfire,normal,forum,,charnel_mouse,
2021-09-22,2021-09-27,XCAFRR21,1,4,zango,OffKilter,MonoGreen,MonoGreen,,zango,normal,forum,,charnel_mouse,
2021-09-22,2021-09-29,XCAFRR21,1,3,Dreamfire,Bomber678,Daymare,Black Bash,,Dreamfire,normal,forum,,charnel_mouse,
2021-09-22,2021-10-01,XCAFRR21,1,8,FrozenStorm,charnel_mouse,MonoGreen,MonoGreen,,FrozenStorm,normal,forum,,charnel_mouse,
2021-09-29,2021-10-01,XCAFRR21,2,4,Dreamfire,zango,MonoBlue,Black Bash,,zango,normal,forum,,charnel_mouse,
2021-09-27,2021-10-08,XCAFRR21,1,6,charnel_mouse,zhavier,MonoPurple,Black Bash,,zhavier,normal,forum,,charnel_mouse,
2021-09-29,2021-10-09,XCAFRR21,1,2,Bomber678,CarpeGuitarrem,MonoRed,MonoRed,,CarpeGuitarrem,normal,forum,,charnel_mouse,
2021-09-29,2021-10-12,XCAFRR21,1,7,Juan_Enriquez,FrozenStorm,Black Bash,MonoPurple,,FrozenStorm,forfeit,forum,,charnel_mouse,
2021-09-23,2021-10-12,XCAFRR21,1,9,zhavier,Juan_Enriquez,[Peace/Truth]/Finesse,MonoRed,,zhavier,forfeit,forum,,charnel_mouse,
2021-10-12,2021-10-12,XCAFRR21,2,6,Juan_Enriquez,charnel_mouse,MonoPurple,Black Bash,,charnel_mouse,forfeit,forum,,charnel_mouse,
2021-10-06,2021-10-12,XCAFRR21,2,7,zhavier,FrozenStorm,MonoPurple,MonoWhite,,zhavier,normal,forum,,charnel_mouse,
2021-10-10,2021-10-12,XCAFRR21,2,9,FrozenStorm,Juan_Enriquez,MonoRed,MonoBlue,,FrozenStorm,forfeit,forum,,charnel_mouse,
2021-10-12,2021-10-12,XCAFRR21,3,7,Juan_Enriquez,zhavier,MonoWhite,MonoWhite,,zhavier,forfeit,forum,,charnel_mouse,
2021-10-12,2021-10-12,XCAFRR21,3,8,charnel_mouse,Juan_Enriquez,MonoWhite,MonoGreen,,charnel_mouse,forfeit,forum,,charnel_mouse,
2021-10-05,2021-10-16,XCAFRR21,2,1,Bomber678,zango,MonoPurple,MonoRed,,Bomber678,normal,forum,,charnel_mouse,
2021-10-13,2021-10-20,XCAFRR21,4,1,zhavier,FrozenStorm,[Peace/Truth]/Finesse,MonoPurple,,zhavier,normal,forum,,charnel_mouse,
2021-10-08,2021-10-21,XCAFRR21,2,3,OffKilter,Bomber678,MonoRed,MonoBlue,,OffKilter,normal,forum,,charnel_mouse,
2021-10-11,2021-10-22,XCAFRR21,2,2,CarpeGuitarrem,Dreamfire,Black Bash,Black Bash,,Dreamfire,normal,forum,,charnel_mouse,
2021-10-09,2021-10-22,XCAFRR21,2,8,zhavier,charnel_mouse,MonoRed,[Law/Peace]/Finesse,,zhavier,normal,forum,,charnel_mouse,
2021-10-21,2021-10-25,XCAFRR21,3,3,Bomber678,Dreamfire,[Balance/Growth]/Finesse,MonoGreen,,Dreamfire,normal,forum,,charnel_mouse,
2021-10-21,2021-10-27,XCAFRR21,3,9,FrozenStorm,zhavier,Black Bash,MonoGreen,,zhavier,normal,forum,,charnel_mouse,
2021-10-21,2021-10-28,XCAFRR21,3,4,OffKilter,zango,MonoWhite,MonoWhite,,zango,normal,forum,,charnel_mouse,
2021-10-20,2021-10-28,XCAFRR21,3,5,zango,CarpeGuitarrem,MonoPurple,MonoPurple,,zango,normal,forum,,charnel_mouse,
2021-10-22,,XCAFRR21,2,5,CarpeGuitarrem,OffKilter,MonoGreen,MonoBlue,,,,forum,,charnel_mouse,
2021-10-26,,XCAFRR21,3,1,Dreamfire,OffKilter,MonoPurple,MonoPurple,,,,forum,,charnel_mouse,
,,XCAFRR21,3,2,CarpeGuitarrem,Bomber678,MonoBlue,MonoWhite,,,,,,charnel_mouse,
2021-10-26,,XCAFRR21,3,6,charnel_mouse,FrozenStorm,MonoRed,MonoBlue,,,,forum,,charnel_mouse,
2021-10-13,,XCAFRR21,4,2,FrozenStorm,charnel_mouse,MonoRed,Black Bash,,,,forum,,charnel_mouse,
2021-10-22,,XCAFRR21,4,3,charnel_mouse,zhavier,MonoWhite,MonoWhite,,,,forum,,charnel_mouse,
